so,thread_limit,iteration,x,y,z,execution time, begin temperature,end temperature
16,-1,800,-1,-1,-1,197.463542,52,53
16,128,800,1,1,1,292.520656,53,51
16,128,800,1,1,2,211.667598,52,51
16,128,800,1,1,4,169.676009,51,51
16,128,800,1,1,8,151.264964,51,50
16,128,800,1,1,16,142.134945,50,50
16,128,800,1,1,32,138.55802,51,51
16,128,800,1,1,64,136.387292,51,50
16,128,800,1,2,1,278.128504,50,52
16,128,800,1,2,2,235.810335,52,53
16,128,800,1,2,4,199.744863,53,53
16,128,800,1,2,8,185.234209,53,53
16,128,800,1,2,16,179.23147,53,53
16,128,800,1,2,32,173.814496,53,53
16,128,800,1,2,64,167.844142,53,53
16,128,800,1,4,1,265.927746,53,53
16,128,800,1,4,2,231.358321,53,53
16,128,800,1,4,4,197.257569,54,54
16,128,800,1,4,8,184.78807,54,53
16,128,800,1,4,16,180.410642,53,53
16,128,800,1,4,32,175.72132,53,53
16,128,800,1,8,1,264.556297,53,53
