so,limit,size,x,y,z,execution time, begin temperature,end temperature
4,256,336,4,8,32,2.99,53,54
4,256,336,4,4,32,3.43,54,56
4,256,336,4,2,32,3.40,55,57
4,256,336,8,16,8,3.09,56,58
4,256,336,8,16,16,2.88,58,59
4,512,336,8,8,16,3.14,58,60
4,256,336,8,8,16,3.04,59,61
4,256,336,8,4,32,2.86,60,61
4,256,336,8,8,32,2.58,60,61
4,512,336,8,4,32,2.99,61,63
4,256,336,8,8,8,4.10,62,63
4,256,336,16,4,32,2.49,63,63
4,256,336,16,8,16,2.85,63,64
4,256,336,16,16,8,3.19,63,65
4,512,336,16,16,8,2.98,64,66
4,256,560,4,8,32,12.89,65,70
4,256,560,4,4,32,13.43,69,74
4,256,560,4,2,32,13.72,70,76
4,256,560,8,16,8,26.80,70,78
4,256,560,8,16,16,15.84,70,76
4,512,560,8,8,16,14.92,70,76
4,256,560,8,8,16,16.20,70,76
4,256,560,8,4,32,11.48,70,75
4,256,560,8,8,32,12.34,70,75
4,512,560,8,4,32,11.16,70,75
4,256,560,8,8,8,30.52,70,78
4,256,560,16,4,32,10.92,70,75
4,256,560,16,8,16,14.80,70,76
4,256,560,16,16,8,19.01,70,77
4,512,560,16,16,8,14.99,70,76
4,256,720,4,8,32,27.71,70,79
4,256,720,4,4,32,27.48,70,79
4,256,720,4,2,32,28.09,70,79
4,256,720,8,16,8,66.14,71,81
4,256,720,8,16,16,40.97,70,79
4,512,720,8,8,16,34.62,70,79
4,256,720,8,8,16,39.41,70,80
4,256,720,8,4,32,27.37,70,79
4,256,720,8,8,32,25.22,70,78
4,512,720,8,4,32,24.16,70,78
4,256,720,8,8,8,67.98,71,81
4,256,720,16,4,32,24.70,70,78
4,256,720,16,8,16,36.36,70,79
4,256,720,16,16,8,62.21,70,81
4,512,720,16,16,8,46.14,70,80
8,256,336,4,8,32,4.15,71,73
8,256,336,4,4,32,4.49,70,73
8,256,336,4,2,32,4.61,70,73
8,256,336,8,16,8,4.59,70,73
8,256,336,8,16,16,4.24,70,72
8,512,336,8,8,16,4.04,70,72
8,256,336,8,8,16,4.39,70,72
8,256,336,8,4,32,3.86,70,72
8,256,336,8,8,32,4.05,70,72
8,512,336,8,4,32,3.86,70,72
8,256,336,8,8,8,5.85,70,73
8,256,336,16,4,32,3.75,70,72
8,256,336,16,8,16,4.05,70,72
8,256,336,16,16,8,4.89,70,72
8,512,336,16,16,8,4.06,70,73
8,256,560,4,8,32,19.72,70,77
8,256,560,4,4,32,17.43,70,77
8,256,560,4,2,32,18.78,70,78
8,256,560,8,16,8,38.05,70,79
8,256,560,8,16,16,24.50,70,78
8,512,560,8,8,16,17.93,70,77
8,256,560,8,8,16,21.98,70,78
8,256,560,8,4,32,14.93,70,77
8,256,560,8,8,32,18.49,70,77
8,512,560,8,4,32,14.66,70,76
8,256,560,8,8,8,37.24,71,79
8,256,560,16,4,32,14.36,70,76
8,256,560,16,8,16,18.15,70,77
8,256,560,16,16,8,26.10,70,78
8,512,560,16,16,8,21.95,70,78
8,256,720,4,8,32,43.09,70,80
8,256,720,4,4,32,36.85,70,80
8,256,720,4,2,32,40.98,70,80
8,256,720,8,16,8,90.25,70,81
8,256,720,8,16,16,63.14,70,80
8,512,720,8,8,16,40.28,70,80
8,256,720,8,8,16,50.66,70,80
8,256,720,8,4,32,33.51,70,79
8,256,720,8,8,32,39.90,70,80
8,512,720,8,4,32,31.27,70,79
8,256,720,8,8,8,81.48,70,81
8,256,720,16,4,32,31.99,70,79
8,256,720,16,8,16,47.91,70,80
8,256,720,16,16,8,78.71,70,81
8,512,720,16,16,8,57.87,70,81
16,256,336,4,8,32,7.08,70,74
16,256,336,4,4,32,7.12,70,73
16,256,336,4,2,32,7.34,70,74
16,256,336,8,16,8,6.99,70,74
16,256,336,8,16,16,7.61,70,74
16,512,336,8,8,16,7.38,70,73
16,256,336,8,8,16,6.32,70,74
16,256,336,8,4,32,5.94,70,73
16,256,336,8,8,32,7.09,70,73
16,512,336,8,4,32,7.31,70,74
16,256,336,8,8,8,8.16,70,74
16,256,336,16,4,32,5.60,70,73
16,256,336,16,8,16,5.81,70,73
16,256,336,16,16,8,6.57,70,74
16,512,336,16,16,8,7.15,70,74
16,256,560,4,8,32,35.68,70,80
16,256,560,4,4,32,27.57,70,79
16,256,560,4,2,32,29.56,70,79
16,256,560,8,16,8,59.70,70,81
16,256,560,8,16,16,44.61,70,80
16,512,560,8,8,16,26.66,70,79
16,256,560,8,8,16,28.55,70,79
16,256,560,8,4,32,23.77,71,79
16,256,560,8,8,32,32.56,70,80
16,512,560,8,4,32,26.26,70,79
16,256,560,8,8,8,48.71,70,80
16,256,560,16,4,32,23.17,70,78
16,256,560,16,8,16,25.20,70,79
16,256,560,16,16,8,41.54,70,80
16,512,560,16,16,8,29.78,70,79
16,256,720,4,8,32,85.80,70,81
16,256,720,4,4,32,65.03,70,81
16,256,720,4,2,32,75.64,71,81
16,256,720,8,16,8,142.03,70,81
16,256,720,8,16,16,109.27,70,81
16,512,720,8,8,16,60.80,70,80
16,256,720,8,8,16,68.98,70,81
16,256,720,8,4,32,59.36,70,81
16,256,720,8,8,32,78.43,70,81
16,512,720,8,4,32,60.06,70,80
16,256,720,8,8,8,119.49,70,81
16,256,720,16,4,32,55.07,70,81
16,256,720,16,8,16,64.92,70,81
16,256,720,16,16,8,128.61,70,81
16,512,720,16,16,8,77.99,70,81
